time_s,strain
0.050061,-1.914577e-43
0.050305,-1.948312e-43
0.050549,-1.974270e-43
0.050794,-1.991795e-43
0.051038,-2.000237e-43
0.051282,-1.998947e-43
0.051526,-1.987287e-43
0.051770,-1.964631e-43
0.052015,-1.930372e-43
0.052259,-1.883921e-43
0.052503,-1.824719e-43
0.052747,-1.752239e-43
0.052991,-1.665989e-43
0.053236,-1.565521e-43
0.053480,-1.450433e-43
0.053724,-1.320379e-43
0.053968,-1.175071e-43
0.054212,-1.014287e-43
0.054457,-8.378731e-44
0.054701,-6.457553e-44
0.054945,-4.379408e-44
0.055189,-2.145251e-44
0.055433,2.430247e-45
0.055678,2.782530e-44
0.055922,5.469332e-44
0.056166,8.298401e-44
0.056410,1.126356e-43
0.056654,1.435745e-43
0.056899,1.757147e-43
0.057143,2.089578e-43
0.057387,2.431923e-43
0.057631,2.782933e-43
0.057875,3.141230e-43
0.058120,3.505296e-43
0.058364,3.873480e-43
0.058608,4.243995e-43
0.058852,4.614920e-43
0.059096,4.984201e-43
0.059341,5.349656e-43
0.059585,5.708976e-43
0.059829,6.059732e-43
0.060073,6.399382e-43
0.060317,6.725274e-43
0.060562,7.034659e-43
0.060806,7.324700e-43
0.061050,7.592478e-43
0.061294,7.835011e-43
0.061538,8.049262e-43
0.061783,8.232154e-43
0.062027,8.380590e-43
0.062271,8.491466e-43
0.062515,8.561691e-43
0.062759,8.588205e-43
0.063004,8.568003e-43
0.063248,8.498154e-43
0.063492,8.375824e-43
0.063736,8.198302e-43
0.063980,7.963025e-43
0.064225,7.667600e-43
0.064469,7.309837e-43
0.064713,6.887769e-43
0.064957,6.399686e-43
0.065201,5.844159e-43
0.065446,5.220069e-43
0.065690,4.526638e-43
0.065934,3.763453e-43
0.066178,2.930498e-43
0.066422,2.028176e-43
0.066667,1.057343e-43
0.066911,1.932523e-45
0.067155,-1.084050e-43
0.067399,-2.250434e-43
0.067643,-3.476937e-43
0.067888,-4.760106e-43
0.068132,-6.095911e-43
0.068376,-7.479728e-43
0.068620,-8.906328e-43
0.068864,-1.036987e-42
0.069109,-1.186390e-42
0.069353,-1.338133e-42
0.069597,-1.491447e-42
0.069841,-1.645502e-42
0.070085,-1.799407e-42
0.070330,-1.952214e-42
0.070574,-2.102917e-42
0.070818,-2.250458e-42
0.071062,-2.393728e-42
0.071306,-2.531570e-42
0.071551,-2.662787e-42
0.071795,-2.786142e-42
0.072039,-2.900367e-42
0.072283,-3.004165e-42
0.072527,-3.096222e-42
0.072772,-3.175211e-42
0.073016,-3.239799e-42
0.073260,-3.288657e-42
0.073504,-3.320468e-42
0.073748,-3.333939e-42
0.073993,-3.327806e-42
0.074237,-3.300848e-42
0.074481,-3.251898e-42
0.074725,-3.179853e-42
0.074969,-3.083686e-42
0.075214,-2.962458e-42
0.075458,-2.815331e-42
0.075702,-2.641578e-42
0.075946,-2.440598e-42
0.076190,-2.211928e-42
0.076435,-1.955254e-42
0.076679,-1.670424e-42
0.076923,-1.357462e-42
0.077167,-1.016576e-42
0.077411,-6.481717e-43
0.077656,-2.528619e-43
0.077900,1.685224e-43
0.078144,6.149237e-43
0.078388,1.085050e-42
0.078632,1.577366e-42
0.078877,2.090090e-42
0.079121,2.621187e-42
0.079365,3.168366e-42
0.079609,3.729078e-42
0.079853,4.300518e-42
0.080098,4.879623e-42
0.080342,5.463079e-42
0.080586,6.047326e-42
0.080830,6.628564e-42
0.081074,7.202766e-42
0.081319,7.765688e-42
0.081563,8.312884e-42
0.081807,8.839724e-42
0.082051,9.341414e-42
0.082295,9.813015e-42
0.082540,1.024947e-41
0.082784,1.064564e-41
0.083028,1.099631e-41
0.083272,1.129625e-41
0.083516,1.154022e-41
0.083761,1.172305e-41
0.084005,1.183962e-41
0.084249,1.188495e-41
0.084493,1.185423e-41
0.084737,1.174285e-41
0.084982,1.154647e-41
0.085226,1.126105e-41
0.085470,1.088292e-41
0.085714,1.040878e-41
0.085958,9.835822e-42
0.086203,9.161730e-42
0.086447,8.384745e-42
0.086691,7.503716e-42
0.086935,6.518146e-42
0.087179,5.428241e-42
0.087424,4.234957e-42
0.087668,2.940037e-42
0.087912,1.546058e-42
0.088156,5.646451e-44
0.088400,-1.524398e-42
0.088645,-3.191256e-42
0.088889,-4.937882e-42
0.089133,-6.757075e-42
0.089377,-8.640653e-42
0.089621,-1.057944e-41
0.089866,-1.256329e-41
0.090110,-1.458104e-41
0.090354,-1.662061e-41
0.090598,-1.866893e-41
0.090842,-2.071208e-41
0.091087,-2.273523e-41
0.091331,-2.472276e-41
0.091575,-2.665831e-41
0.091819,-2.852481e-41
0.092063,-3.030464e-41
0.092308,-3.197962e-41
0.092552,-3.353122e-41
0.092796,-3.494057e-41
0.093040,-3.618865e-41
0.093284,-3.725641e-41
0.093529,-3.812487e-41
0.093773,-3.877531e-41
0.094017,-3.918943e-41
0.094261,-3.934946e-41
0.094505,-3.923841e-41
0.094750,-3.884017e-41
0.094994,-3.813975e-41
0.095238,-3.712343e-41
0.095482,-3.577897e-41
0.095726,-3.409579e-41
0.095971,-3.206515e-41
0.096215,-2.968036e-41
0.096459,-2.693694e-41
0.096703,-2.383285e-41
0.096947,-2.036859e-41
0.097192,-1.654741e-41
0.097436,-1.237549e-41
0.097680,-7.862015e-42
0.097924,-3.019365e-42
0.098168,2.136803e-42
0.098413,7.587450e-42
0.098657,1.331009e-41
0.098901,1.927871e-41
0.099145,2.546379e-41
0.099389,3.183226e-41
0.099634,3.834754e-41
0.099878,4.496958e-41
0.100122,5.165499e-41
0.100366,5.835711e-41
0.100611,6.502618e-41
0.100855,7.160954e-41
0.101099,7.805184e-41
0.101343,8.429530e-41
0.101587,9.028002e-41
0.101832,9.594429e-41
0.102076,1.012250e-40
0.102320,1.060580e-40
0.102564,1.103785e-40
0.102808,1.141218e-40
0.103053,1.172235e-40
0.103297,1.196200e-40
0.103541,1.212495e-40
0.103785,1.220521e-40
0.104029,1.219708e-40
0.104274,1.209518e-40
0.104518,1.189454e-40
0.104762,1.159067e-40
0.105006,1.117958e-40
0.105250,1.065792e-40
0.105495,1.002299e-40
0.105739,9.272811e-41
0.105983,8.406225e-41
0.106227,7.422915e-41
0.106471,6.323484e-41
0.106716,5.109505e-41
0.106960,3.783571e-41
0.107204,2.349339e-41
0.107448,8.115703e-42
0.107692,-8.238380e-42
0.107937,-2.549827e-41
0.108181,-4.358160e-41
0.108425,-6.239414e-41
0.108669,-8.182980e-41
0.108913,-1.017708e-40
0.109158,-1.220877e-40
0.109402,-1.426400e-40
0.109646,-1.632764e-40
0.109890,-1.838354e-40
0.110134,-2.041461e-40
0.110379,-2.240288e-40
0.110623,-2.432960e-40
0.110867,-2.617538e-40
0.111111,-2.792027e-40
0.111355,-2.954389e-40
0.111600,-3.102560e-40
0.111844,-3.234467e-40
0.112088,-3.348039e-40
0.112332,-3.441230e-40
0.112576,-3.512036e-40
0.112821,-3.558515e-40
0.113065,-3.578806e-40
0.113309,-3.571155e-40
0.113553,-3.533927e-40
0.113797,-3.465640e-40
0.114042,-3.364978e-40
0.114286,-3.230815e-40
0.114530,-3.062241e-40
0.114774,-2.858579e-40
0.115018,-2.619406e-40
0.115263,-2.344576e-40
0.115507,-2.034236e-40
0.115751,-1.688847e-40
0.115995,-1.309194e-40
0.116239,-8.964063e-41
0.116484,-4.519655e-41
0.116728,2.228271e-42
0.116972,5.241224e-41
0.117216,1.050963e-40
0.117460,1.599837e-40
0.117705,2.167404e-40
0.117949,2.749955e-40
0.118193,3.343419e-40
0.118437,3.943383e-40
0.118681,4.545099e-40
0.118926,5.143514e-40
0.119170,5.733288e-40
0.119414,6.308828e-40
0.119658,6.864318e-40
0.119902,7.393761e-40
0.120147,7.891013e-40
0.120391,8.349837e-40
0.120635,8.763947e-40
0.120879,9.127062e-40
0.121123,9.432966e-40
0.121368,9.675561e-40
0.121612,9.848938e-40
0.121856,9.947432e-40
0.122100,9.965697e-40
0.122344,9.898769e-40
0.122589,9.742139e-40
0.122833,9.491817e-40
0.123077,9.144409e-40
0.123321,8.697175e-40
0.123565,8.148106e-40
0.123810,7.495980e-40
0.124054,6.740427e-40
0.124298,5.881985e-40
0.124542,4.922153e-40
0.124786,3.863436e-40
0.125031,2.709390e-40
0.125275,1.464649e-40
0.125519,1.349548e-41
0.125763,-1.272827e-40
0.126007,-2.750700e-40
0.126252,-4.289539e-40
0.126496,-5.879104e-40
0.126740,-7.508067e-40
0.126984,-9.164043e-40
0.127228,-1.083365e-39
0.127473,-1.250254e-39
0.127717,-1.415553e-39
0.127961,-1.577664e-39
0.128205,-1.734919e-39
0.128449,-1.885596e-39
0.128694,-2.027928e-39
0.128938,-2.160117e-39
0.129182,-2.280350e-39
0.129426,-2.386814e-39
0.129670,-2.477715e-39
0.129915,-2.551295e-39
0.130159,-2.605849e-39
0.130403,-2.639748e-39
0.130647,-2.651458e-39
0.130891,-2.639557e-39
0.131136,-2.602762e-39
0.131380,-2.539945e-39
0.131624,-2.450154e-39
0.131868,-2.332635e-39
0.132112,-2.186850e-39
0.132357,-2.012496e-39
0.132601,-1.809523e-39
0.132845,-1.578151e-39
0.133089,-1.318881e-39
0.133333,-1.032512e-39
0.133578,-7.201488e-40
0.133822,-3.832129e-40
0.134066,-2.344632e-41
0.134310,3.570848e-40
0.134554,7.559898e-40
0.134799,1.170557e-39
0.135043,1.597760e-39
0.135287,2.034268e-39
0.135531,2.476458e-39
0.135775,2.920436e-39
0.136020,3.362054e-39
0.136264,3.796936e-39
0.136508,4.220511e-39
0.136752,4.628039e-39
0.136996,5.014653e-39
0.137241,5.375397e-39
0.137485,5.705270e-39
0.137729,5.999272e-39
0.137973,6.252454e-39
0.138217,6.459972e-39
0.138462,6.617139e-39
0.138706,6.719482e-39
0.138950,6.762802e-39
0.139194,6.743230e-39
0.139438,6.657289e-39
0.139683,6.501950e-39
0.139927,6.274692e-39
0.140171,5.973558e-39
0.140415,5.597209e-39
0.140659,5.144977e-39
0.140904,4.616911e-39
0.141148,4.013820e-39
0.141392,3.337317e-39
0.141636,2.589845e-39
0.141880,1.774706e-39
0.142125,8.960817e-40
0.142369,-4.095782e-41
0.142613,-1.030450e-39
0.142857,-2.065545e-39
0.143101,-3.138524e-39
0.143346,-4.240825e-39
0.143590,-5.363075e-39
0.143834,-6.495141e-39
0.144078,-7.626188e-39
0.144322,-8.744744e-39
0.144567,-9.838782e-39
0.144811,-1.089581e-38
0.145055,-1.190298e-38
0.145299,-1.284718e-38
0.145543,-1.371516e-38
0.145788,-1.449370e-38
0.146032,-1.516968e-38
0.146276,-1.573028e-38
0.146520,-1.616310e-38
0.146764,-1.645634e-38
0.147009,-1.659894e-38
0.147253,-1.658075e-38
0.147497,-1.639269e-38
0.147741,-1.602691e-38
0.147985,-1.547695e-38
0.148230,-1.473789e-38
0.148474,-1.380651e-38
0.148718,-1.268139e-38
0.148962,-1.136307e-38
0.149206,-9.854153e-39
0.149451,-8.159409e-39
0.149695,-6.285835e-39
0.149939,-4.242732e-39
0.150183,-2.041742e-39
0.150427,3.031354e-40
0.150672,2.775551e-39
0.150916,5.356836e-39
0.151160,8.026069e-39
0.151404,1.076015e-38
0.151648,1.353395e-38
0.151893,1.632041e-38
0.152137,1.909076e-38
0.152381,2.181471e-38
0.152625,2.446069e-38
0.152869,2.699609e-38
0.153114,2.938761e-38
0.153358,3.160151e-38
0.153602,3.360402e-38
0.153846,3.536164e-38
0.154090,3.684159e-38
0.154335,3.801213e-38
0.154579,3.884306e-38
0.154823,3.930609e-38
0.155067,3.937525e-38
0.155311,3.902739e-38
0.155556,3.824252e-38
0.155800,3.700426e-38
0.156044,3.530026e-38
0.156288,3.312252e-38
0.156532,3.046779e-38
0.156777,2.733789e-38
0.157021,2.373993e-38
0.157265,1.968665e-38
0.157509,1.519651e-38
0.157753,1.029393e-38
0.157998,5.009261e-39
0.158242,-6.210964e-40
0.158486,-6.554802e-39
0.158730,-1.274367e-38
0.158974,-1.913389e-38
0.159219,-2.566623e-38
0.159463,-3.227649e-38
0.159707,-3.889580e-38
0.159951,-4.545125e-38
0.160195,-5.186636e-38
0.160440,-5.806181e-38
0.160684,-6.395615e-38
0.160928,-6.946660e-38
0.161172,-7.450989e-38
0.161416,-7.900322e-38
0.161661,-8.286521e-38
0.161905,-8.601690e-38
0.162149,-8.838285e-38
0.162393,-8.989216e-38
0.162637,-9.047958e-38
0.162882,-9.008659e-38
0.163126,-8.866247e-38
0.163370,-8.616536e-38
0.163614,-8.256327e-38
0.163858,-7.783499e-38
0.164103,-7.197105e-38
0.164347,-6.497446e-38
0.164591,-5.686144e-38
0.164835,-4.766204e-38
0.165079,-3.742055e-38
0.165324,-2.619586e-38
0.165568,-1.406163e-38
0.165812,-1.106333e-39
0.166056,1.256698e-38
0.166300,2.684095e-38
0.166545,4.158451e-38
0.166789,5.665356e-38
0.167033,7.189192e-38
0.167277,8.713248e-38
0.167521,1.021985e-37
0.167766,1.169052e-37
0.168010,1.310612e-37
0.168254,1.444710e-37
0.168498,1.569362e-37
0.168742,1.682587e-37
0.168987,1.782421e-37
0.169231,1.866948e-37
0.169475,1.934323e-37
0.169719,1.982800e-37
0.169963,2.010754e-37
0.170208,2.016716e-37
0.170452,1.999391e-37
0.170696,1.957690e-37
0.170940,1.890751e-37
0.171184,1.797965e-37
0.171429,1.679000e-37
0.171673,1.533815e-37
0.171917,1.362685e-37
0.172161,1.166210e-37
0.172405,9.453313e-38
0.172650,7.013367e-38
0.172894,4.358669e-38
0.173138,1.509155e-38
0.173382,-1.511746e-38
0.173626,-4.677197e-38
0.173871,-7.957078e-38
0.174115,-1.131817e-37
0.174359,-1.472437e-37
0.174603,-1.813699e-37
0.174847,-2.151507e-37
0.175092,-2.481572e-37
0.175336,-2.799459e-37
0.175580,-3.100631e-37
0.175824,-3.380499e-37
0.176068,-3.634476e-37
0.176313,-3.858032e-37
0.176557,-4.046758e-37
0.176801,-4.196426e-37
0.177045,-4.303049e-37
0.177289,-4.362950e-37
0.177534,-4.372823e-37
0.177778,-4.329794e-37
0.178022,-4.231488e-37
0.178266,-4.076080e-37
0.178510,-3.862357e-37
0.178755,-3.589763e-37
0.178999,-3.258449e-37
0.179243,-2.869308e-37
0.179487,-2.424006e-37
0.179731,-1.925012e-37
0.179976,-1.375605e-37
0.180220,-7.798849e-38
0.180464,-1.427645e-38
0.180708,5.300441e-38
0.180952,1.232057e-37
0.181197,1.956056e-37
0.181441,2.694141e-37
0.181685,3.437787e-37
0.181929,4.177922e-37
0.182173,4.905010e-37
0.182418,5.609145e-37
0.182662,6.280160e-37
0.182906,6.907741e-37
0.183150,7.481554e-37
0.183394,7.991372e-37
0.183639,8.427219e-37
0.183883,8.779511e-37
0.184127,9.039202e-37
0.184371,9.197934e-37
0.184615,9.248184e-37
0.184860,9.183410e-37
0.185104,8.998191e-37
0.185348,8.688365e-37
0.185592,8.251154e-37
0.185836,7.685277e-37
0.186081,6.991056e-37
0.186325,6.170501e-37
0.186569,5.227383e-37
0.186813,4.167282e-37
0.187057,2.997615e-37
0.187302,1.727651e-37
0.187546,3.684842e-38
0.187790,-1.067001e-37
0.188034,-2.564202e-37
0.188278,-4.106894e-37
0.188523,-5.677350e-37
0.188767,-7.256496e-37
0.189011,-8.824082e-37
0.189255,-1.035889e-36
0.189499,-1.183896e-36
0.189744,-1.324185e-36
0.189988,-1.454488e-36
0.190232,-1.572546e-36
0.190476,-1.676137e-36
0.190720,-1.763112e-36
0.190965,-1.831420e-36
0.191209,-1.879151e-36
0.191453,-1.904563e-36
0.191697,-1.906117e-36
0.191941,-1.882509e-36
0.192186,-1.832704e-36
0.192430,-1.755959e-36
0.192674,-1.651856e-36
0.192918,-1.520322e-36
0.193162,-1.361651e-36
0.193407,-1.176521e-36
0.193651,-9.660054e-37
0.193895,-7.315808e-37
0.194139,-4.751308e-37
0.194383,-1.989422e-37
0.194628,9.430405e-38
0.194872,4.015466e-37
0.195116,7.193648e-37
0.195360,1.044006e-36
0.195604,1.371417e-36
0.195849,1.697286e-36
0.196093,2.017084e-36
0.196337,2.326120e-36
0.196581,2.619591e-36
0.196825,2.892648e-36
0.197070,3.140457e-36
0.197314,3.358269e-36
0.197558,3.541492e-36
0.197802,3.685759e-36
0.198046,3.787009e-36
0.198291,3.841555e-36
0.198535,3.846157e-36
0.198779,3.798098e-36
0.199023,3.695245e-36
0.199267,3.536114e-36
0.199512,3.319928e-36
0.199756,3.046669e-36
0.200000,2.717114e-36
0.200244,2.332877e-36
0.200488,1.896428e-36
0.200733,1.411106e-36
0.200977,8.811197e-37
0.201221,3.115399e-37
0.201465,-2.917292e-37
0.201709,-9.219852e-37
0.201954,-1.571779e-36
0.202198,-2.232980e-36
0.202442,-2.896856e-36
0.202686,-3.554159e-36
0.202930,-4.195237e-36
0.203175,-4.810146e-36
0.203419,-5.388775e-36
0.203663,-5.920987e-36
0.203907,-6.396759e-36
0.204151,-6.806336e-36
0.204396,-7.140387e-36
0.204640,-7.390161e-36
0.204884,-7.547647e-36
0.205128,-7.605734e-36
0.205372,-7.558359e-36
0.205617,-7.400659e-36
0.205861,-7.129103e-36
0.206105,-6.741619e-36
0.206349,-6.237708e-36
0.206593,-5.618533e-36
0.206838,-4.886998e-36
0.207082,-4.047799e-36
0.207326,-3.107455e-36
0.207570,-2.074314e-36
0.207814,-9.585274e-37
0.208059,2.279949e-37
0.208303,1.471668e-36
0.208547,2.757337e-36
0.208791,4.068417e-36
0.209035,5.387059e-36
0.209280,6.694345e-36
0.209524,7.970509e-36
0.209768,9.195187e-36
0.210012,1.034768e-35
0.210256,1.140726e-35
0.210501,1.235347e-35
0.210745,1.316641e-35
0.210989,1.382713e-35
0.211233,1.431792e-35
0.211477,1.462267e-35
0.211722,1.472716e-35
0.211966,1.461942e-35
0.212210,1.429002e-35
0.212454,1.373234e-35
0.212698,1.294282e-35
0.212943,1.192123e-35
0.213187,1.067077e-35
0.213431,9.198298e-36
0.213675,7.514354e-36
0.213919,5.633250e-36
0.214164,3.573033e-36
0.214408,1.355423e-36
0.214652,-9.943203e-37
0.214896,-3.447591e-36
0.215140,-5.972689e-36
0.215385,-8.535139e-36
0.215629,-1.109807e-35
0.215873,-1.362263e-35
0.216117,-1.606853e-35
0.216361,-1.839450e-35
0.216606,-2.055895e-35
0.216850,-2.252056e-35
0.217094,-2.423892e-35
0.217338,-2.567524e-35
0.217582,-2.679299e-35
0.217827,-2.755865e-35
0.218071,-2.794232e-35
0.218315,-2.791845e-35
0.218559,-2.746644e-35
0.218803,-2.657120e-35
0.219048,-2.522375e-35
0.219292,-2.342164e-35
0.219536,-2.116935e-35
0.219780,-1.847863e-35
0.220024,-1.536865e-35
0.220269,-1.186613e-35
0.220513,-8.005358e-36
0.220757,-3.827992e-36
0.221001,6.171366e-37
0.221245,5.274439e-36
0.221490,1.008207e-35
0.221734,1.497258e-35
0.221978,1.987367e-35
0.222222,2.470906e-35
0.222466,2.939954e-35
0.222711,3.386400e-35
0.222955,3.802067e-35
0.223199,4.178836e-35
0.223443,4.508780e-35
0.223687,4.784299e-35
0.223932,4.998262e-35
0.224176,5.144143e-35
0.224420,5.216160e-35
0.224664,5.209407e-35
0.224908,5.119979e-35
0.225153,4.945091e-35
0.225397,4.683180e-35
0.225641,4.333995e-35
0.225885,3.898676e-35
0.226129,3.379805e-35
0.226374,2.781442e-35
0.226618,2.109143e-35
0.226862,1.369942e-35
0.227106,5.723218e-36
0.227350,-2.738479e-36
0.227595,-1.157399e-35
0.227839,-2.065976e-35
0.228083,-2.986177e-35
0.228327,-3.903710e-35
0.228571,-4.803590e-35
0.228816,-5.670337e-35
0.229060,-6.488210e-35
0.229304,-7.241451e-35
0.229548,-7.914538e-35
0.229792,-8.492461e-35
0.230037,-8.960989e-35
0.230281,-9.306951e-35
0.230525,-9.518508e-35
0.230769,-9.585418e-35
0.231013,-9.499294e-35
0.231258,-9.253839e-35
0.231502,-8.845060e-35
0.231746,-8.271459e-35
0.231990,-7.534188e-35
0.232234,-6.637172e-35
0.232479,-5.587189e-35
0.232723,-4.393907e-35
0.232967,-3.069877e-35
0.233211,-1.630473e-35
0.233455,-9.378461e-37
0.233700,1.519541e-35
0.233944,3.186516e-35
0.234188,4.882070e-35
0.234432,6.579366e-35
0.234676,8.250157e-35
0.234921,9.865192e-35
0.235165,1.139465e-34
0.235409,1.280863e-34
0.235653,1.407763e-34
0.235897,1.517310e-34
0.236142,1.606793e-34
0.236386,1.673705e-34
0.236630,1.715790e-34
0.236874,1.731099e-34
0.237118,1.718037e-34
0.237363,1.675411e-34
0.237607,1.602469e-34
0.237851,1.498938e-34
0.238095,1.365052e-34
0.238339,1.201575e-34
0.238584,1.009819e-34
0.238828,7.916436e-35
0.239072,5.494587e-35
0.239316,2.862081e-35
0.239560,5.347866e-37
0.239805,-2.891869e-35
0.240049,-5.930251e-35
0.240293,-9.014127e-35
0.240537,-1.209275e-34
0.240781,-1.511289e-34
0.241026,-1.801961e-34
0.241270,-2.075715e-34
0.241514,-2.326987e-34
0.241758,-2.550319e-34
0.242002,-2.740462e-34
0.242247,-2.892480e-34
0.242491,-3.001850e-34
0.242735,-3.064565e-34
0.242979,-3.077228e-34
0.243223,-3.037150e-34
0.243468,-2.942425e-34
0.243712,-2.792012e-34
0.243956,-2.585794e-34
0.244200,-2.324629e-34
0.244444,-2.010386e-34
0.244689,-1.645962e-34
0.244933,-1.235288e-34
0.245177,-7.833082e-35
0.245421,-2.959486e-35
0.245665,2.199410e-35
0.245910,7.566592e-35
0.246154,1.305747e-34
0.246398,1.858099e-34
0.246642,2.404095e-34
0.246886,2.933742e-34
0.247131,3.436835e-34
0.247375,3.903133e-34
0.247619,4.322536e-34
0.247863,4.685275e-34
0.248107,4.982107e-34
0.248352,5.204505e-34
0.248596,5.344853e-34
0.248840,5.396627e-34
0.249084,5.354570e-34
0.249328,5.214853e-34
0.249573,4.975217e-34
0.249817,4.635093e-34
0.250061,4.195703e-34
0.250305,3.660127e-34
0.250549,3.033341e-34
0.250794,2.322226e-34
0.251038,1.535540e-34
0.251282,6.838500e-35
0.251526,-2.205627e-35
0.251770,-1.163844e-34
0.252015,-2.130739e-34
0.252259,-3.104801e-34
0.252503,-4.068632e-34
0.252747,-5.004155e-34
0.252991,-5.892912e-34
